order;label;x;y
1;1;236;-432
2;2;-54;-662
3;3;427;-663
4;4;520;249
5;5;-89;27
6;6;173;-177
7;7;-185;-303
8;8;-635;-637
9;9;-537;-816
10;10;-313;-637
11;11;-89;-869
12;12;-861;-894
13;13;-732;-48
14;14;-894;-227
15;15;-894;710
16;16;-699;434
17;17;-345;889
18;18;-217;435
19;19;268;588
20;20;-89;614
21;21;42;915
22;22;817;710
23;23;880;-816
24;24;654;-23
25;25;588;-868
